id,name,team,role,qi,qa,fvm
A-ROM-Malen,Malen,ROM,A,34,38,450
A-INT-Martinez_L.,Martinez L.,INT,A,35,33,361
D-INT-Dimarco,Dimarco,INT,D,32,31,240
C-COM-Paz_N.,Paz N.,COM,C,30,29,245
C-INT-Calhanoglu,Calhanoglu,INT,C,27,28,243
A-INT-Thuram,Thuram,INT,A,29,28,249
A-NAP-Hojlund,Hojlund,NAP,A,28,28,260
A-MIL-Ramos_G.,Ramos G.,MIL,A,27,27,237
C-NAP-McTominay,McTominay,NAP,C,28,27,220
C-BOL-Orsolini,Orsolini,BOL,C,26,25,177
A-JUV-Kolo_Muani,Kolo Muani,JUV,A,26,25,165
A-COM-Kean,Kean,COM,A,25,24,183
C-MIL-Pulisic,Pulisic,MIL,C,25,24,150
C-MIL-Rabiot,Rabiot,MIL,C,22,23,145
A-JUV-Woltemade,Woltemade,JUV,A,23,23,160
A-COM-Douvikas,Douvikas,COM,A,20,22,185
A-JUV-Yildiz,Yildiz,JUV,A,23,22,100
C-COM-Baturina,Baturina,COM,C,19,20,105
C-ROM-Mora,Mora,ROM,C,19,20,100
A-ATA-Scamacca,Scamacca,ATA,A,19,19,110
P-ROM-Svilar,Svilar,ROM,P,18,19,85
A-SAS-Berardi,Berardi,SAS,A,18,19,106
A-UDI-Davis_K.,Davis K.,UDI,A,19,19,108
A-ATA-Krstovic,Krstovic,ATA,A,18,18,98
C-COM-Da_Cunha,Da Cunha,COM,C,18,18,87
C-INT-Barella,Barella,INT,C,17,18,81
A-MIL-Leao,Leao,MIL,A,18,18,75
D-ROM-Wesley,Wesley,ROM,D,17,18,87
C-UDI-Zaniolo,Zaniolo,UDI,C,18,18,80
D-ROM-Molina_N.,Molina N.,ROM,D,18,18,78
P-ATA-Carnesecchi,Carnesecchi,ATA,P,16,17,55
A-ATA-De_Ketelaere,De Ketelaere,ATA,A,17,17,95
P-INT-Martinez_Jo.,Martinez Jo.,INT,P,17,17,68
A-INT-Esposito_F.P.,Esposito F.P.,INT,A,16,17,105
C-JUV-McKennie,McKennie,JUV,C,17,17,70
C-NAP-De_Bruyne,De Bruyne,NAP,C,15,17,108
P-JUV-Vicario,Vicario,JUV,P,16,17,70
D-JUV-Bremer,Bremer,JUV,D,15,16,60
C-LAZ-Zaccagni,Zaccagni,LAZ,C,16,16,87
D-ROM-Mancini,Mancini,ROM,D,15,16,50
A-ROM-Dybala,Dybala,ROM,A,14,16,100
A-BOL-Dovbyk,Dovbyk,BOL,A,16,15,51
P-COM-Butez,Butez,COM,P,16,15,50
C-FIO-Atta,Atta,FIO,C,17,15,78
D-INT-Akanji,Akanji,INT,D,16,15,47
P-MIL-Maignan,Maignan,MIL,P,15,15,52
D-NAP-Rrahmani,Rrahmani,NAP,D,14,15,51
A-SAS-Laurientè,Laurientè,SAS,A,15,15,83
A-ATA-Raspadori,Raspadori,ATA,A,13,14,73
D-INT-Bastoni,Bastoni,INT,D,14,14,43
D-JUV-Kalulu,Kalulu,JUV,D,13,14,47
D-MIL-Pavlovic,Pavlovic,MIL,D,14,14,49
A-NAP-Santos_A.,Santos A.,NAP,A,14,14,61
A-FIO-Pellegrino_M.,Pellegrino M.,FIO,A,15,14,40
A-ROM-Castro_S.,Castro S.,ROM,A,14,14,70
A-TOR-Simeone,Simeone,TOR,A,15,14,80
A-FIO-Beto,Beto,FIO,A,14,14,50
C-ATA-Samardzic,Samardzic,ATA,C,12,13,44
C-JUV-Conceicao,Conceicao,JUV,C,12,13,68
C-LAZ-Taylor_K.,Taylor K.,LAZ,C,13,13,53
D-MIL-Gila,Gila,MIL,D,12,13,31
A-MIL-Nkunku,Nkunku,MIL,A,13,13,20
D-ROM-N'Dicka,N'Dicka,ROM,D,13,13,42
A-ROM-Soulè,Soulè,ROM,A,12,13,48
C-TOR-Vlasic,Vlasic,TOR,C,14,13,73
D-UDI-Solet,Solet,UDI,D,13,13,46
C-ATA-Ederson_D.S.,Ederson D.S.,ATA,C,12,12,46
A-SAS-Esposito_Se.,Esposito Se.,SAS,A,13,12,40
A-COM-Diao,Diao,COM,A,11,12,50
C-LAZ-Gudmundsson_A.,Gudmundsson A.,LAZ,C,13,12,40
D-INT-Bisseck,Bisseck,INT,D,11,12,36
D-INT-Stones,Stones,INT,D,12,12,25
C-INT-Zielinski,Zielinski,INT,C,10,12,45
C-MIL-Modric,Modric,MIL,C,12,12,45
D-NAP-Di_Lorenzo,Di Lorenzo,NAP,D,12,12,39
A-LAZ-Pinamonti,Pinamonti,LAZ,A,13,12,53
C-UDI-Ekkelenkamp,Ekkelenkamp,UDI,C,10,12,57
A-CAG-Kevin_Carlos,Kevin Carlos,CAG,A,13,12,36
C-INT-Jones_C.,Jones C.,INT,C,12,12,47
C-JUV-Gonzalez_N.,Gonzalez N.,JUV,C,11,12,45
C-ATA-Kessiè,Kessiè,ATA,C,12,12,47
C-FIO-Goncalves_P.,Goncalves P.,FIO,C,12,12,50
C-COM-Rodriguez_Je.,Rodriguez Je.,COM,C,12,11,31
P-FIO-De_Gea,De Gea,FIO,P,13,11,30
D-GEN-Ostigard,Ostigard,GEN,D,11,11,41
C-GEN-Baldanzi,Baldanzi,GEN,C,11,11,28
A-GEN-Colombo,Colombo,GEN,A,11,11,52
C-JUV-Alajbegovic,Alajbegovic,JUV,C,12,11,42
C-MIL-Saelemaekers,Saelemaekers,MIL,C,10,11,35
P-NAP-Meret,Meret,NAP,P,11,11,48
D-ROM-Hermoso,Hermoso,ROM,D,10,11,26
A-VEN-Adams_A.,Adams A.,VEN,A,12,11,35
C-FIO-Mastantuono,Mastantuono,FIO,C,12,11,50
D-INT-Spence,Spence,INT,D,12,11,37
C-MIL-Moreira,Moreira,MIL,C,12,11,45
D-ATA-Scalvini,Scalvini,ATA,D,10,10,28
P-BOL-Skorupski,Skorupski,BOL,P,10,10,32
C-BOL-Bernardeschi,Bernardeschi,BOL,C,9,10,27
C-ATA-Rowe,Rowe,ATA,C,11,10,40
P-CAG-Caprile,Caprile,CAG,P,9,10,25
D-COM-Ramon,Ramon,COM,D,10,10,31
C-COM-Perrone,Perrone,COM,C,10,10,34
C-LAZ-Frattesi,Frattesi,LAZ,C,7,10,75
P-LAZ-Mandas,Mandas,LAZ,P,9,10,36
A-LAZ-Dia,Dia,LAZ,A,10,10,20
C-NAP-Zambo_Anguissa,Zambo Anguissa,NAP,C,11,10,41
C-NAP-Vergara,Vergara,NAP,C,8,10,35
A-NAP-Lukaku,Lukaku,NAP,A,10,10,45
C-ROM-Konè_M.,Konè M.,ROM,C,10,10,42
C-SAS-Thorstvedt,Thorstvedt,SAS,C,10,10,39
A-TOR-Adams_C.,Adams C.,TOR,A,9,10,33
A-PAR-Tourè_E.,Tourè E.,PAR,A,11,10,37
D-COM-Chalobah_T.,Chalobah T.,COM,D,9,10,32
A-PAR-Romero_D.,Romero D.,PAR,A,10,10,37
D-FIO-Dodò,Dodò,FIO,D,10,9,20
A-FRO-Raimondo,Raimondo,FRO,A,7,9,27
D-GEN-Vasquez,Vasquez,GEN,D,9,9,30
C-INT-Diouf,Diouf,INT,C,8,9,43
C-INT-Sucic_P.,Sucic P.,INT,C,8,9,21
P-JUV-Di_Gregorio,Di Gregorio,JUV,P,9,9,10
C-JUV-Locatelli,Locatelli,JUV,C,8,9,33
C-JUV-Thuram_K.,Thuram K.,JUV,C,10,9,25
C-LAZ-Cancellieri,Cancellieri,LAZ,C,9,9,25
C-LAZ-Isaksen,Isaksen,LAZ,C,9,9,22
A-LAZ-Ratkov,Ratkov,LAZ,A,10,9,22
C-MON-Colpani,Colpani,MON,C,8,9,15
A-MON-Cutrone,Cutrone,MON,A,9,9,23
C-NAP-Politano,Politano,NAP,C,10,9,37
C-ROM-Cristante,Cristante,ROM,C,8,9,29
C-SAS-Volpato,Volpato,SAS,C,7,9,25
A-SAS-Bowie,Bowie,SAS,A,10,9,32
C-TOR-Casadei,Casadei,TOR,C,10,9,27
P-UDI-Okoye,Okoye,UDI,P,9,9,28
D-UDI-Vojvoda,Vojvoda,UDI,D,8,9,19
D-UDI-Kamara_H.,Kamara H.,UDI,D,6,9,12
A-VEN-Yeboah_J.,Yeboah J.,VEN,A,8,9,27
C-ROM-Pellegrini_Lo.,Pellegrini Lo.,ROM,C,10,9,20
A-FRO-Bobcek,Bobcek,FRO,A,9,9,31
P-TOR-Perri,Perri,TOR,P,9,9,26
D-ATA-Zappacosta,Zappacosta,ATA,D,8,8,19
C-ATA-Pasalic,Pasalic,ATA,C,9,8,22
D-BOL-Miranda_J.,Miranda J.,BOL,D,8,8,23
C-BOL-Odgaard,Odgaard,BOL,C,8,8,17
C-BOL-Cambiaghi,Cambiaghi,BOL,C,8,8,25
A-BOL-Dallinga,Dallinga,BOL,A,8,8,10
C-TOR-Mandragora,Mandragora,TOR,C,9,8,23
A-BOL-Piccoli,Piccoli,BOL,A,8,8,29
C-FRO-Calò,Calò,FRO,C,7,8,27
A-FRO-Ghedjemis,Ghedjemis,FRO,A,9,8,23
P-GEN-Bijlow,Bijlow,GEN,P,8,8,15
D-GEN-Norton-Cuffy,Norton-Cuffy,GEN,D,8,8,15
A-GEN-Vitinha_O.,Vitinha O.,GEN,A,8,8,13
D-JUV-Celik,Celik,JUV,D,8,8,16
D-JUV-Cambiaso,Cambiaso,JUV,D,9,8,18
A-JUV-David,David,JUV,A,9,8,25
D-LAZ-Doekhi,Doekhi,LAZ,D,7,8,16
P-LEC-Falcone,Falcone,LEC,P,8,8,26
D-LEC-Tiago_Gabriel,Tiago Gabriel,LEC,D,7,8,20
A-LEC-Geubbels,Geubbels,LEC,A,9,8,23
D-MIL-Bartesaghi,Bartesaghi,MIL,D,8,8,22
C-MIL-Chukwueze,Chukwueze,MIL,C,6,8,22
D-NAP-Gutierrez,Gutierrez,NAP,D,8,8,26
D-NAP-Spinazzola,Spinazzola,NAP,D,8,8,25
C-NAP-Lobotka,Lobotka,NAP,C,7,8,23
D-PAR-Delprato,Delprato,PAR,D,8,8,21
D-PAR-Valeri,Valeri,PAR,D,8,8,22
D-ROM-Koulierakis,Koulierakis,ROM,D,8,8,15
C-SAS-Konè_I.,Konè I.,SAS,C,9,8,20
D-TOR-Comuzzo,Comuzzo,TOR,D,6,8,13
D-COM-Couto,Couto,COM,D,8,8,25
C-FRO-Schmid,Schmid,FRO,C,8,8,25
A-GEN-Osmajic,Osmajic,GEN,A,8,8,28
D-BOL-Theate,Theate,BOL,D,8,8,20
C-MIL-Hutchinson,Hutchinson,MIL,C,8,8,25
D-PAR-Diego_Carlos,Diego Carlos,PAR,D,8,8,26
C-BOL-Mbangula,Mbangula,BOL,C,8,8,28
P-COM-Sanchez_Ro.,Sanchez Ro.,COM,P,8,8,25
D-ATA-Djimsiti,Djimsiti,ATA,D,7,7,16
D-ATA-Hien,Hien,ATA,D,8,7,11
C-ATA-Gaetano,Gaetano,ATA,C,7,7,30
C-ATA-Zalewski,Zalewski,ATA,C,6,7,18
D-JUV-Lucumì,Lucumì,JUV,D,8,7,17
